Department Name,Classification Name,Address Zip Code,svc_bin,pay_bin,start_year_bin,start_season
EMERGENCY DEPT,CLER ASSOC,92345,10-15,20-25,2000-2010,Spring
EMERGENCY DEPT,CLER ASSOC,91762,10-15,20-25,2000-2010,Fall
NICU,CLER ASSOC,92509,0-5,15-20,2010-2020,Winter
EMERGENCY DEPT,CLER ASSOC,91784,10-15,20-25,2000-2010,Spring
EMERGENCY DEPT,CLER ASSOC,91737,10-15,20-25,2000-2010,Winter
EMERGENCY DEPT,CLER ASSOC,92504,0-5,15-20,2010-2020,Fall
EMERGENCY DEPT,CLER ASSOC,92880,15-20,20-25,2000-2010,Summer
EMERGENCY DEPT,CLER ASSOC,91766,15-20,20-25,2000-2010,Summer
EMERGENCY DEPT,CLER ASSOC,91737,0-5,15-20,2010-2020,Summer
EMERGENCY DEPT,CLER ASSOC,91740,10-15,20-25,2000-2010,Fall
EMERGENCY DEPT,CLER ASSOC,91784,35-40,20-25,1980-1990,Summer
EMERGENCY DEPT,CLER ASSOC,92335,10-15,20-25,2000-2010,Spring
EMERGENCY DEPT,CLER ASSOC,91762,5-10,15-20,2010-2020,Spring
NICU,CLER ASSOC,92376,10-15,20-25,2000-2010,Fall
EMERGENCY DEPT,CLER ASSOC,92336,15-20,20-25,2000-2010,Spring
EMERGENCY DEPT,CLER ASSOC,91730,40-45,20-25,1970-1980,Winter
FINANCIAL SERVICES,"CLERK, ACCOUNTING",91723,0-5,20-25,2010-2020,Summer
CASH APPLICATIONS,"CLERK, ACCOUNTING CA",91766,30-35,25-30,1980-1990,Spring
CASH APPLICATIONS,"CLERK, ACCOUNTING CA",91765,20-25,20-25,1990-2000,Summer
CASH APPLICATIONS,"CLERK, ACCOUNTING CA",92553,15-20,20-25,2000-2010,Spring
CASH APPLICATIONS,"CLERK, ACCOUNTING CA",91786,10-15,20-25,2000-2010,Fall
CASH APPLICATIONS,"CLERK, ACCOUNTING CA",91763,0-5,20-25,2010-2020,Fall
FINANCIAL SERVICES,"CLERK, ACCOUNTS PAYA",92507,25-30,20-25,1990-2000,Fall
FINANCIAL SERVICES,"CLERK, ACCOUNTS PAYA",92377,30-35,20-25,1980-1990,Spring
CREDIT & COLLECTIONS,"CLERK, FILE",91730,nan,nan,2010-2020,Fall
CREDIT & COLLECTIONS,"CLERK, FILE",92337,nan,nan,2010-2020,Fall
STORES & DISTRIBUTIO,"CLERK, LEAD WAREHOUS",91767,10-15,20-25,2000-2010,Spring
HEALTH INFO MGNT,"CLERK, MEDICAL RECOR",91710,25-30,20-25,1980-1990,Fall
HEALTH INFO MGNT,"CLERK, MEDICAL RECOR",91710,25-30,20-25,1990-2000,Winter
HEALTH INFO MGNT,"CLERK, MEDICAL RECOR",91768,0-5,15-20,2010-2020,Spring
WAREHOUSE & RECEIVIN,"CLERK, WAREHOUSE",91766,5-10,20-25,2010-2020,Fall
WAREHOUSE & RECEIVIN,"CLERK, WAREHOUSE",91762,nan,nan,2010-2020,Fall
WAREHOUSE & RECEIVIN,"CLERK, WAREHOUSE",91763,nan,20-25,2010-2020,Fall
WAREHOUSE & RECEIVIN,"CLERK, WAREHOUSE",91766,nan,15-20,2010-2020,Summer
WAREHOUSE & RECEIVIN,"CLERK, WAREHOUSE",91768,nan,15-20,2010-2020,Fall
WAREHOUSE & RECEIVIN,"CLERK, WAREHOUSE",91761,nan,nan,2010-2020,Fall
WAREHOUSE & RECEIVIN,"CLERK, WAREHOUSE",91766,0-5,15-20,2010-2020,Spring
WAREHOUSE & RECEIVIN,"CLERK, WAREHOUSE & R",92407,25-30,25-30,1990-2000,Spring
WAREHOUSE & RECEIVIN,"CLERK, WAREHOUSE & R",91767,30-35,25-30,1980-1990,Fall
MEDSURG 4 - (4 CENTR,CLIN NUR II,91792,nan,40-45,2020-2021,Winter
TRAUMA ICU,CLIN NUR II,91739,nan,45-50,2020-2021,Winter
RADIOLOGY-ANGIOGRAPH,CLIN NUR II,91709,nan,60-65,2010-2020,Winter
DIALYSIS,CLIN NUR II,91730,nan,55-60,2010-2020,Winter
DAY SURGERY,CLIN NUR II,91773,nan,60-65,2020-2021,Winter
MEDSURG 4 - (4 CENTR,CLIN NUR II,92505,nan,40-45,2020-2021,Winter
ICU,CLIN NUR II,91737,nan,60-65,2020-2021,Winter
INFORMATION SERVICES,CLINICAL SUPPORT LIA,91786,0-5,35-40,2010-2020,Fall
INFORMATION SERVICES,CLINICAL SUPPORT LIA,91762,5-10,40-45,2010-2020,Summer
INFORMATION SERVICES,CLINICAL SUPPORT LIA,92376,0-5,30-35,2010-2020,Fall
INFORMATION SERVICES,CLINICAL SUPPORT LIA,92337,5-10,30-35,2010-2020,Fall
INFORMATION SERVICES,CLINICAL SUPPORT LIA,91730,0-5,35-40,2010-2020,Winter
INFORMATION SERVICES,CLINICAL SUPPORT LIA,91724,5-10,35-40,2010-2020,Winter
INFORMATION SERVICES,CLINICAL SUPPORT LIA,92507,0-5,30-35,2010-2020,Summer
INFORMATION SERVICES,CLINICAL SUPPORT LIA,91764,10-15,40-45,2000-2010,Winter
INFORMATION SERVICES,CLINICAL SUPPORT LIA,92376,15-20,40-45,2000-2010,Fall
INFORMATION SERVICES,CLINICAL SUPPORT LIA,91709,0-5,30-35,2010-2020,Spring
SATELLITE CENTRAL BI,"CODER, CBO",91768,20-25,35-40,1990-2000,Fall
SATELLITE CENTRAL BI,"CODER, CBO",91762,20-25,35-40,1990-2000,Fall
SATELLITE CENTRAL BI,"CODER, CBO",91767,0-5,25-30,2010-2020,Summer
SATELLITE CENTRAL BI,"CODER, CBO",91761,0-5,35-40,2010-2020,Fall
SATELLITE CENTRAL BI,"CODER, CBO",92878,nan,25-30,2010-2020,Winter
SATELLITE CENTRAL BI,"CODER, CBO",91764,15-20,35-40,2000-2010,Summer
SATELLITE CENTRAL BI,"CODER, CBO",91784,30-35,35-40,1980-1990,Summer
SATELLITE CENTRAL BI,"CODER, CBO",92808,0-5,30-35,2010-2020,Winter
SATELLITE CENTRAL BI,"CODER, CBO",91702,0-5,25-30,2010-2020,Fall
HUMAN RESOURCES,COMPENSATION ANALYST,91730,5-10,45-50,2010-2020,Summer
HUMAN RESOURCES,COMPENSATION ANALYST,92336,15-20,45-50,2000-2010,Spring
COMPLIANCE,COMPLIANCE OFFICER,92595,15-20,95-100,2000-2010,Spring
FOOD & NUTRITION SER,COOK I,91766,0-5,15-20,2010-2020,Summer
FOOD & NUTRITION SER,COOK I,91789,30-35,20-25,1980-1990,Fall
FNS CATERING,COOK I,91762,20-25,20-25,1990-2000,Winter
FOOD & NUTRITION SER,COOK I,91730,0-5,20-25,2010-2020,Fall
FNS CATERING,COOK I,92509,10-15,20-25,2000-2010,Summer
CARDIAC SURGERY ADMI,"COORD, CARD SERV",91750,25-30,35-40,1990-2000,Summer
CATH LAB,"COORD, CARD SERV",92376,10-15,30-35,2000-2010,Spring
EDUCATION,"COORD, ED",91784,25-30,25-30,1990-2000,Summer
PATIENT ACCESS SERVI,"COORD, FINANCIAL COU",92336,15-20,25-30,2000-2010,Summer
NURSE STAFFING,"COORD, ICU",91765,15-20,25-30,2000-2010,Summer
MAIL/MESSENGERS,"COORD, MAIL/MESS",92507,25-30,25-30,1990-2000,Spring
NURSE STAFFING,"COORD, NURSE STAFF",91739,nan,25-30,2010-2020,Fall
NURSE STAFFING,"COORD, NURSE STAFF",91708,0-5,20-25,2010-2020,Winter
NURSE STAFFING,"COORD, NURSE STAFF",91724,15-20,25-30,2000-2010,Fall
NURSE STAFFING,"COORD, NURSE STAFF",91710,35-40,30-35,1980-1990,Summer
NURSE STAFFING,"COORD, NURSE STAFF",91765,30-35,30-35,1980-1990,Winter
NURSE STAFFING,"COORD, NURSE STAFF",90605,0-5,25-30,2010-2020,Fall
NURSE STAFFING,"COORD, NURSE STAFF",91709,15-20,25-30,2000-2010,Spring
NURSE STAFFING,"COORD, NURSE STAFF",91709,30-35,30-35,1980-1990,Winter
NURSE STAFFING,"COORD, NURSE STAFF",91764,0-5,20-25,2010-2020,Fall
NURSE STAFFING,"COORD, NURSE STAFF",92337,30-35,30-35,1980-1990,Fall
NURSE STAFFING,"COORD, NURSE STAFF",91766,30-35,30-35,1980-1990,Winter
SURGERY,"COORD, SURGERY",91750,15-20,30-35,2000-2010,Winter
SURGERY,"COORD, SURGERY",91708,10-15,35-40,2000-2010,Summer
UTILIZATION MANAGEME,"COORD, UM REPORTING",91762,25-30,35-40,1990-2000,Spring
LDRP O.R.,COORDINATOR,91768,30-35,25-30,1980-1990,Winter
EMERGENCY DEPT,COORDINATOR,92337,5-10,25-30,2010-2020,Summer
FAMILY MEDICINE RESI,"COORDINATOR, ADMIN F",91764,20-25,35-40,1990-2000,Summer
CHILDREN'S OUTPATIEN,"COORDINATOR, CHILDRE",91761,25-30,30-35,1990-2000,Spring
CHILDREN'S OUTPATIEN,"COORDINATOR, CHILDRE",90621,20-25,25-30,1990-2000,Spring
EMERGENCY DEPT,"COORDINATOR, CLINICA",92336,5-10,80-85,2010-2020,Fall
CARDIAC SURGERY ADMI,"COORDINATOR, CLINICA",92377,5-10,80-85,2010-2020,Winter
SURGERY,"COORDINATOR, CLINICA",91730,10-15,80-85,2000-2010,Winter
CARDIAC SURGERY ADMI,"COORDINATOR, CLINICA",91767,20-25,80-85,1990-2000,Fall
RESOURCE CENTER,"COORDINATOR, CLINICA",91766,0-5,65-70,2010-2020,Summer
CARDIAC SURGERY ADMI,"COORDINATOR, CLINICA",91730,30-35,80-85,1980-1990,Fall
CANCER REGISTRY,"COORDINATOR, CLINICA",91701,10-15,35-40,2000-2010,Spring
MEDI-CAL BILLING,"COORDINATOR, CONTRAC",91730,15-20,30-35,2000-2010,Fall
CONTRACT BILLING,"COORDINATOR, CONTRAC",91708,30-35,30-35,1980-1990,Spring
CONTRACT BILLING,"COORDINATOR, CONTRAC",91765,15-20,30-35,2000-2010,Summer
CONTRACT BILLING,"COORDINATOR, CONTRAC",91764,20-25,30-35,1990-2000,Spring
CONTRACT BILLING,"COORDINATOR, CONTRAC",92324,15-20,25-30,2000-2010,Spring
MEDICAL STAFF OFFICE,"COORDINATOR, CREDENT",91710,30-35,40-45,1980-1990,Spring
CREDIT & COLLECTIONS,"COORDINATOR, CREDIT",91762,10-15,30-35,2000-2010,Spring
ENVIRONMENTAL SAFETY,"COORDINATOR, DISASTE",92886,0-5,40-45,2010-2020,Winter
SLEEP CENTER,"COORDINATOR, DME",92376,0-5,25-30,2010-2020,Winter
FAMILY MEDICINE RESI,"COORDINATOR, FAMILY",92503,0-5,30-35,2010-2020,Spring
FAMILY PRACTICE CLIN,"COORDINATOR, FHC ADM",91764,nan,25-30,2010-2020,Summer
CLAREMONT HC URGENT,"COORDINATOR, INDUSTR",92376,0-5,20-25,2010-2020,Spring
CLAREMONT HC URGENT,"COORDINATOR, INDUSTR",91762,10-15,25-30,2000-2010,Fall
CH CROSSROADS URGENT,"COORDINATOR, INDUSTR",90640,5-10,25-30,2010-2020,Summer
CH CROSSROADS URGENT,"COORDINATOR, INDUSTR",91766,10-15,25-30,2000-2010,Fall
LAVERNE HC URGENT CA,"COORDINATOR, INDUSTR",91767,0-5,20-25,2010-2020,Spring
CANCER REGISTRY,"COORDINATOR, IRB",91786,10-15,35-40,2000-2010,Summer
CHILDREN'S OUTPATIEN,"COORDINATOR, LEAD CA",92883,0-5,25-30,2010-2020,Winter
CHILDREN'S OUTPATIEN,"COORDINATOR, LEAD CA",92555,15-20,25-30,2000-2010,Winter
MEDICARE BILLING,"COORDINATOR, MEDI-CA",92337,20-25,30-35,1990-2000,Winter
RADIATION ONCOLOGY,"COORDINATOR, MEDICAL",92316,10-15,25-30,2000-2010,Summer
CLAREMONT HC ADMIN,"COORDINATOR, MEDICAL",91706,0-5,25-30,2010-2020,Winter
MEDICAL ONCOLOGY,"COORDINATOR, MEDICAL",91773,0-5,25-30,2010-2020,Spring
MEDICAL ONCOLOGY,"COORDINATOR, MEDICAL",91761,0-5,20-25,2010-2020,Winter
MEDICAL ONCOLOGY,"COORDINATOR, MEDICAL",92335,0-5,20-25,2010-2020,Spring
MEDICAL ONCOLOGY,"COORDINATOR, MEDICAL",91784,0-5,25-30,2010-2020,Fall
RADIATION ONCOLOGY,"COORDINATOR, MEDICAL",91737,15-20,25-30,2000-2010,Spring
RADIATION ONCOLOGY,"COORDINATOR, MEDICAL",91711,15-20,25-30,2000-2010,Spring
LAVERNE HC URGENT CA,"COORDINATOR, OFFICE",92376,0-5,25-30,2010-2020,Winter
LAVERNE HC PRIMARY C,"COORDINATOR, OFFICE",91767,0-5,25-30,2010-2020,Summer
CLAREMONT HC URGENT,"COORDINATOR, OFFICE",91750,10-15,25-30,2000-2010,Summer
FAMILY PRACTICE CLIN,"COORDINATOR, OFFICE",92407,5-10,25-30,2010-2020,Winter
PATIENT ACCESS SERVI,"COORDINATOR, PATIENT",91763,5-10,25-30,2010-2020,Summer
PATIENT ACCESS SERVI,"COORDINATOR, PATIENT",91739,15-20,30-35,2000-2010,Spring
RESOURCE CENTER,"COORDINATOR, PATIENT",91740,0-5,80-85,2010-2020,Summer
PATIENT ACCESS SERVI,"COORDINATOR, PATIENT",91710,10-15,25-30,2000-2010,Winter
PHYSICAL THERAPY,"COORDINATOR, PHYSICA",91710,30-35,30-35,1980-1990,Spring
EMERGENCY DEPT,"COORDINATOR, PRE HOS",91784,45-50,80-85,1970-1980,Summer
PATIENT ACCESS SERVI,"COORDINATOR, PRE SER",92404,15-20,30-35,2000-2010,Winter
MATERIALS MGNT ADMIN,"COORDINATOR, PURCHAS",92886,0-5,45-50,2010-2020,Winter
QUALITY MANAGEMENT,"COORDINATOR, QM NURS",91711,5-10,65-70,2010-2020,Summer
QUALITY MANAGEMENT,"COORDINATOR, QM NURS",92336,10-15,65-70,2000-2010,Spring
QUALITY MANAGEMENT,"COORDINATOR, QM NURS",91711,25-30,65-70,1990-2000,Spring
QUALITY MANAGEMENT,"COORDINATOR, QM NURS",91786,45-50,65-70,1970-1980,Spring
QUALITY MANAGEMENT,"COORDINATOR, QUALITY",92376,10-15,55-60,2000-2010,Summer
PATIENT ACCOUNTING,"COORDINATOR, QUALITY",92337,10-15,25-30,2000-2010,Fall
PATIENT ACCOUNTING,"COORDINATOR, QUALITY",92307,15-20,30-35,2000-2010,Winter
FAMILY PRACTICE CLIN,"COORDINATOR, REFERRA",91786,15-20,20-25,2000-2010,Summer
CHINO HILLS  HEALTH,"COORDINATOR, REFERRA",92335,0-5,15-20,2010-2020,Winter
LAVERNE HC PRIMARY C,"COORDINATOR, REFERRA",91768,0-5,20-25,2010-2020,Fall
CLAREMONT HC PRIMARY,"COORDINATOR, REFERRA",91766,0-5,15-20,2010-2020,Winter
FAMILY PRACTICE CLIN,"COORDINATOR, REFERRA",91766,0-5,20-25,2010-2020,Spring
CLAREMONT HC PRIMARY,"COORDINATOR, REFERRA",91744,15-20,20-25,2000-2010,Spring
FAMILY PRACTICE CLIN,"COORDINATOR, REFERRA",92407,5-10,20-25,2010-2020,Summer
CLAREMONT HC PRIMARY,"COORDINATOR, REFERRA",91761,0-5,20-25,2010-2020,Spring
CHINO HILLS  HEALTH,"COORDINATOR, REFERRA",91786,0-5,20-25,2010-2020,Fall
PHYSICAL THERAPY CLA,"COORDINATOR, REHAB S",91709,0-5,30-35,2010-2020,Summer
PHY THER MILESTONES,"COORDINATOR, REHAB S",91767,20-25,35-40,1990-2000,Summer
PHYSICAL THERAPY,"COORDINATOR, REHAB S",91702,5-10,30-35,2010-2020,Winter
BUSINESS SERVICES SY,"COORDINATOR, REVENUE",92860,10-15,25-30,2000-2010,Spring
PATIENT RELATIONS,"COORDINATOR, RISK RE",91761,10-15,35-40,2000-2010,Fall
PHYSICAL THERAPY,"COORDINATOR, SPECIAL",91750,15-20,65-70,2000-2010,Fall
PHY THER LAVERNE HC,"COORDINATOR, SPECIAL",92508,25-30,65-70,1990-2000,Spring
CARDIAC WELLNESS,"COORDINATOR, SPECIAL",92223,30-35,55-60,1980-1990,Fall
PHYSICAL THERAPY MON,"COORDINATOR, SPECIAL",91711,20-25,65-70,1990-2000,Summer
CLAREMONT HC ADMIN,"COORDINATOR, SR MEDI",91764,15-20,25-30,2000-2010,Summer
VOLUNTEERS,"COORDINATOR, STUDENT",91730,15-20,35-40,2000-2010,Spring
STORES & DISTRIBUTIO,"COORDINATOR, SURGERY",92405,0-5,25-30,2010-2020,Summer
ER ADMITTING,"COORDINATOR, TRAUMA",92555,20-25,25-30,1990-2000,Fall
ER ADMITTING,"COORDINATOR, TRAUMA",91786,0-5,25-30,2010-2020,Winter
ER ADMITTING,"COORDINATOR, TRAUMA",91710,10-15,25-30,2000-2010,Summer
ER ADMITTING,"COORDINATOR, TRAUMA",91763,20-25,25-30,1990-2000,Fall
ER ADMITTING,"COORDINATOR, TRAUMA",91768,20-25,25-30,1990-2000,Spring
ER ADMITTING,"COORDINATOR, TRAUMA",91730,15-20,25-30,1990-2000,Winter
FAMILY ED & RESOURCE,CUST REL LIAISON,91709,15-20,30-35,2000-2010,Winter
FAMILY ED & RESOURCE,CUST REL LIAISON,91763,10-15,25-30,2000-2010,Summer
FAMILY ED & RESOURCE,CUST REL LIAISON,91737,10-15,30-35,2000-2010,Spring
FAMILY ED & RESOURCE,CUST REL LIAISON,91773,0-5,20-25,2010-2020,Fall
FOOD & NUTRITION SER,"CUSTOMER CARE REP, F",92337,10-15,20-25,2000-2010,Summer
FOOD & NUTRITION SER,"CUSTOMER CARE REP, F",91767,20-25,20-25,1990-2000,Spring
CARDIAC SURGERY ADMI,DATA ANALYST,91791,10-15,35-40,2000-2010,Summer
CARDIAC SURGERY ADMI,DATA ANALYST,91722,15-20,35-40,1990-2000,Fall
LABORATORY,DATA ENTRY/LAB AIDE,92399,0-5,20-25,2010-2020,Spring
LABORATORY,DATA ENTRY/LAB AIDE,91763,nan,20-25,2020-2021,Winter
LABORATORY,DATA ENTRY/LAB AIDE,92501,10-15,20-25,2000-2010,Summer
LABORATORY,DATA ENTRY/LAB AIDE,91766,5-10,15-20,2010-2020,Summer
LABORATORY,DATA ENTRY/LAB AIDE,91765,10-15,20-25,2000-2010,Summer
LABORATORY,DATA ENTRY/LAB AIDE,91767,0-5,15-20,2010-2020,Fall
LABORATORY,DATA ENTRY/LAB AIDE,91709,15-20,20-25,2000-2010,Spring
LABORATORY,DATA ENTRY/LAB AIDE,91789,10-15,20-25,2000-2010,Summer
LABORATORY,DATA ENTRY/LAB AIDE,92404,0-5,15-20,2010-2020,Winter
LABORATORY,DATA ENTRY/LAB AIDE,91762,5-10,20-25,2010-2020,Fall
LABORATORY,DATA ENTRY/LAB AIDE,91730,5-10,20-25,2010-2020,Fall
LABORATORY,DATA ENTRY/LAB AIDE,91730,0-5,15-20,2010-2020,Winter
LABORATORY,DATA ENTRY/LAB AIDE,91763,5-10,20-25,2010-2020,Summer
LABORATORY,DATA ENTRY/LAB AIDE,91701,25-30,25-30,1990-2000,Spring
LABORATORY,DATA ENTRY/LAB AIDE,92336,10-15,15-20,2000-2010,Spring
LABORATORY,DATA ENTRY/LAB AIDE,91730,10-15,20-25,2000-2010,Summer
RESPIRATORY SERVICES,DEPARTMENT SECRETARY,92703,0-5,15-20,2010-2020,Summer
SLEEP CENTER,DEPARTMENT SECRETARY,91710,0-5,20-25,2010-2020,Summer
SLEEP CENTER,DEPARTMENT SECRETARY,91710,10-15,25-30,2000-2010,Summer
SLEEP CENTER,DEPARTMENT SECRETARY,92336,0-5,15-20,2010-2020,Winter
PHYSICIAN BILLING,DEPARTMENT SECRETARY,91792,15-20,25-30,2000-2010,Fall
SLEEP CENTER,DEPARTMENT SECRETARY,91761,10-15,25-30,2000-2010,Fall
SLEEP CENTER,DEPARTMENT SECRETARY,92505,0-5,20-25,2010-2020,Summer
SWEET SUCCESS,"DEPT SECR, SWEET SUC",91711,5-10,25-30,2010-2020,Fall
SWEET SUCCESS,"DEPT SECR, SWEET SUC",91722,0-5,25-30,2010-2020,Winter
INFORMATION SERVICES,DESKTOP ENGINEER,91762,0-5,40-45,2010-2020,Spring
INFORMATION SERVICES,DESKTOP ENGINEER,91801,20-25,40-45,1990-2000,Summer
INFORMATION SERVICES,DESKTOP ENGINEER,91763,5-10,35-40,2010-2020,Summer
INFORMATION SERVICES,DESKTOP ENGINEER,91767,0-5,40-45,2010-2020,Fall
INFORMATION SERVICES,DESKTOP ENGINEER,91741,5-10,40-45,2010-2020,Spring
INFORMATION SERVICES,DESKTOP ENGINEER,92337,0-5,40-45,2010-2020,Fall
FOOD & NUTRITION SER,"DIETETIC TECH, REGIS",91701,35-40,25-30,1980-1990,Winter
FOOD & NUTRITION SER,"DIETETIC TECH, REGIS",91784,20-25,20-25,1990-2000,Spring
FOOD & NUTRITION SER,"DIETETIC TECH, UNREG",91766,10-15,20-25,2000-2010,Summer
FOOD & NUTRITION SER,"DIETETIC TECH, UNREG",91711,20-25,25-30,1990-2000,Spring
FOOD & NUTRITION SER,"DIETETIC TECH, UNREG",92336,25-30,25-30,1990-2000,Spring
FOOD & NUTRITION SER,"DIETETIC TECH, UNREG",91701,20-25,25-30,1990-2000,Winter
FOOD & NUTRITION SER,"DIETITIAN II, CLINIC",92374,0-5,40-45,2010-2020,Fall
FOOD & NUTRITION SER,"DIETITIAN II, CLINIC",91748,10-15,45-50,2000-2010,Fall
FOOD & NUTRITION SER,"DIETITIAN II, CLINIC",91709,0-5,40-45,2010-2020,Winter
SWEET SUCCESS,"DIETITIAN II, CLINIC",91801,0-5,45-50,2010-2020,Spring
FOOD & NUTRITION SER,"DIETITIAN II, CLINIC",92887,35-40,50-55,1970-1980,Fall
FOOD & NUTRITION SER,"DIETITIAN II, CLINIC",92354,5-10,45-50,2010-2020,Winter
FOOD & NUTRITION SER,"DIETITIAN II, CLINIC",91701,20-25,45-50,1990-2000,Summer
FOOD & NUTRITION SER,"DIETITIAN II, CLINIC",91750,0-5,40-45,2010-2020,Summer
FOOD & NUTRITION SER,"DIETITIAN II, CLINIC",91711,25-30,50-55,1990-2000,Winter
FOOD & NUTRITION SER,"DIETITIAN II, CLINIC",91709,15-20,45-50,2000-2010,Summer
FOOD & NUTRITION SER,"DIETITIAN, CLINICAL",91010,nan,45-50,2010-2020,Winter
FOOD & NUTRITION SER,"DIETITIAN, CLINICAL",92887,10-15,45-50,2000-2010,Spring
FOOD & NUTRITION SER,"DIETITIAN, CLINICAL",91709,20-25,45-50,1990-2000,Spring
FOOD & NUTRITION SER,"DIETITIAN, CLINICAL",92509,0-5,30-35,2010-2020,Winter
FOOD & NUTRITION SER,"DIETITIAN, CLINICAL",92821,10-15,45-50,2000-2010,Winter
FOOD & NUTRITION SER,"DIETITIAN, CLINICAL",92879,0-5,35-40,2010-2020,Summer
SECURITY,"DISPATCHER, SECURITY",91730,nan,20-25,2020-2021,Winter
SECURITY,"DISPATCHER, SECURITY",91762,0-5,20-25,2010-2020,Spring
SECURITY,"DISPATCHER, SECURITY",92509,15-20,20-25,2000-2010,Summer
SECURITY,"DISPATCHER, SECURITY",92335,15-20,20-25,2000-2010,Spring
SECURITY,"DISPATCHER, SECURITY",91709,nan,15-20,2010-2020,Fall
SECURITY,"DISPATCHER, SECURITY",91711,nan,20-25,2010-2020,Summer
SECURITY,"DISPATCHER, SECURITY",91702,0-5,15-20,2010-2020,Summer
RADIATION ONCOLOGY,"DOSIMETRIST, CERTIFI",90603,15-20,75-80,2000-2010,Fall
NON-INVASIVE CARDIO,ECHOCARDIOGRAPHY TEC,92506,0-5,35-40,2010-2020,Winter
NON-INVASIVE CARDIO,ECHOCARDIOGRAPHY TEC,92404,0-5,40-45,2010-2020,Spring
NON-INVASIVE CARDIO,ECHOCARDIOGRAPHY TEC,90650,0-5,35-40,2010-2020,Spring
NON-INVASIVE CARDIO,ECHOCARDIOGRAPHY TEC,91711,5-10,50-55,2010-2020,Spring
NON-INVASIVE CARDIO,ECHOCARDIOGRAPHY TEC,91711,10-15,50-55,2000-2010,Winter
NON-INVASIVE CARDIO,ECHOCARDIOGRAPHY TEC,91711,0-5,50-55,2010-2020,Fall
NON-INVASIVE CARDIO,ECHOCARDIOGRAPHY TEC,92881,30-35,50-55,1980-1990,Winter
NON-INVASIVE CARDIO,ECHOCARDIOGRAPHY TEC,91710,0-5,50-55,2010-2020,Summer
NON-INVASIVE CARDIO,ECHOCARDIOGRAPHY TEC,91206,0-5,50-55,2010-2020,Spring
NON-INVASIVE CARDIO,ECHOCARDIOGRAPHY TEC,91764,0-5,35-40,2010-2020,Winter
NON-INVASIVE CARDIO,ECHOCARDIOGRAPHY TEC,91701,15-20,40-45,2000-2010,Spring
EMERGENCY DEPT,EDT,91701,nan,15-20,2010-2020,Fall
EMERGENCY DEPT,EDT,91701,5-10,20-25,2010-2020,Summer
EMERGENCY DEPT,EDT,91710,0-5,20-25,2010-2020,Summer
EMERGENCY DEPT,EDT,92879,0-5,25-30,2010-2020,Summer
EMERGENCY DEPT,EDT,91730,nan,20-25,2010-2020,Fall
EMERGENCY DEPT,EDT,92503,nan,15-20,2010-2020,Fall
EMERGENCY DEPT,EDT,91761,0-5,20-25,2010-2020,Winter
EMERGENCY DEPT,EDT,91767,0-5,20-25,2010-2020,Fall
EMERGENCY DEPT,EDT,91730,5-10,25-30,2010-2020,Winter
EMERGENCY DEPT,EDT,91710,5-10,25-30,2010-2020,Spring
EMERGENCY DEPT,EDT,91761,nan,15-20,2010-2020,Fall
EMERGENCY DEPT,EDT,91730,5-10,25-30,2010-2020,Winter
EMERGENCY DEPT,EDT,91764,0-5,15-20,2010-2020,Fall
EMERGENCY DEPT,EDT,91784,0-5,20-25,2010-2020,Spring
EMERGENCY DEPT,EDT,92320,10-15,25-30,2000-2010,Winter
EMERGENCY DEPT,EDT,91750,0-5,15-20,2010-2020,Fall
EMERGENCY DEPT,EDT,92377,0-5,15-20,2010-2020,Spring
EMERGENCY DEPT,EDT,91711,0-5,20-25,2010-2020,Spring
EMERGENCY DEPT,EDT,92553,30-35,25-30,1980-1990,Fall
EMERGENCY DEPT,EDT,91722,0-5,25-30,2010-2020,Summer
EMERGENCY DEPT,EDT,91701,10-15,25-30,2000-2010,Fall
EMERGENCY DEPT,EDT,91762,0-5,20-25,2010-2020,Fall
EMERGENCY DEPT,EDT,91701,0-5,15-20,2010-2020,Summer
EMERGENCY DEPT,EDT,92336,10-15,25-30,2000-2010,Spring
EMERGENCY DEPT,EDT,91762,0-5,20-25,2010-2020,Summer
EMERGENCY DEPT,EDT,91764,5-10,20-25,2010-2020,Summer
EMERGENCY DEPT,EDT,91737,0-5,15-20,2010-2020,Winter
EMERGENCY DEPT,EDT,92562,0-5,15-20,2010-2020,Summer
EMERGENCY DEPT,EDT,92336,5-10,25-30,2010-2020,Winter
EMERGENCY DEPT,EDT,90602,0-5,25-30,2010-2020,Summer
EMERGENCY DEPT,EDT,92374,5-10,25-30,2010-2020,Spring
EMERGENCY DEPT,EDT,92508,0-5,15-20,2010-2020,Summer
EMERGENCY DEPT,EDT,90723,0-5,25-30,2010-2020,Winter
EMERGENCY DEPT,EDT,91791,5-10,25-30,2010-2020,Summer
EMERGENCY DEPT,EDT,92532,5-10,25-30,2010-2020,Spring
EMERGENCY DEPT,EDT,91767,0-5,20-25,2010-2020,Spring
EMERGENCY DEPT,EDT,91773,nan,15-20,2010-2020,Fall
EMERGENCY DEPT,EDT,92617,5-10,20-25,2010-2020,Spring
EMERGENCY DEPT,EDT,91773,5-10,20-25,2010-2020,Summer
EMERGENCY DEPT,EDT,91741,0-5,25-30,2010-2020,Spring
EMERGENCY DEPT,EDT,92571,5-10,25-30,2010-2020,Winter
EMERGENCY DEPT,EDT,92366,0-5,15-20,2010-2020,Winter
